dataset,requested_activity,provider,measured_activity,measured_min,measured_max,speedup,speedup_min,speedup_max,latency_ms,seeds
microns_mm3,0.2,globalatomic_cudagraph,0.1999632065181188,0.1121261194169664,0.1999915041924793,2.300493439966215,2.2905100698507157,2.7899302135328576,9.01471996307373,3
microns_mm3,0.005,persistent_spike_block,0.0048379265337729,0.0046672297578603,0.0049813014171995,5.0896572391132056,5.056081382538389,6.848096583377194,4.073472023010254,3
microns_mm3,0.01,persistent_spike_block,0.009999877702005,0.0099996174935051,0.0100000078062549,5.310070246439586,5.289477381626616,6.090910904781784,3.90342390537262,3
microns_mm3,0.02,persistent_spike_block,0.0199994951955102,0.0199938356606381,0.0200009263422595,4.9488460756601755,4.935539732059179,5.123170134678559,4.189375877380371,3
microns_mm3,0.05,persistent_spike_block,0.0499906064731548,0.0499468263930522,0.0500229373792632,4.298011557352108,4.288979714813258,4.361297677587674,4.823760032653809,3
microns_mm3,0.1,persistent_spike_block,0.1000041763464228,0.0999664461139421,0.100046720436151,3.7276130414451725,3.7169258992056564,3.7674302725039914,5.561615943908691,3
microns_mm3,0.2,persistent_spike_block,0.1999632065181188,0.1121261194169664,0.1999915041924793,2.669753554676054,2.654529825782166,3.6414036842817374,7.767872095108032,3
microns_mm3,0.005,tilespmspv_cudagraph,0.0048379265337729,0.0046672297578603,0.0049813014171995,3.8060420312936856,3.804345421682868,3.9811974404136032,5.447279930114746,3
microns_mm3,0.01,tilespmspv_cudagraph,0.009999877702005,0.0099996174935051,0.0100000078062549,3.6318590376329998,3.6061846350354103,3.9149797966184674,5.707119941711426,3
microns_mm3,0.02,tilespmspv_cudagraph,0.0199994951955102,0.0199938356606381,0.0200009263422595,3.6152020138000793,3.560096755734764,3.8195812350002267,5.734832048416138,3
microns_mm3,0.05,tilespmspv_cudagraph,0.0499906064731548,0.0499468263930522,0.0500229373792632,3.530857920478605,3.4408546971365745,3.6252294862826773,5.871824026107788,3
microns_mm3,0.1,tilespmspv_cudagraph,0.1000041763464228,0.0999664461139421,0.100046720436151,3.0194835988007203,2.8902302300878278,3.067946439158241,6.865247964859009,3
